地域名,時点,年齢区分,人口（男性）【人】,注記,人口（女性）【人】,注記,人口（男女計）【人】,注記
全国（日本）,1920年,100歳以上,27,,86,,113,
全国（日本）,1920年,95～99歳,556,,1359,,1915,
全国（日本）,1920年,90～94歳,3426,,8316,,11742,
全国（日本）,1920年,85～89歳,20687,,41549,,62236,
全国（日本）,1920年,80～84歳,65473,,108710,,174183,
全国（日本）,1920年,75～79歳,198253,,283759,,482012,
全国（日本）,1920年,70～74歳,399540,,497078,,896618,
全国（日本）,1920年,65～69歳,614479,,698058,,1312537,
全国（日本）,1920年,60～64歳,803033,,852772,,1655805,
全国（日本）,1920年,55～59歳,912085,,928008,,1840093,
全国（日本）,1920年,50～54歳,1122240,,1112522,,2234762,
全国（日本）,1920年,45～49歳,1340404,,1318163,,2658567,
全国（日本）,1920年,40～44歳,1640254,,1603510,,3243764,
全国（日本）,1920年,35～39歳,1707771,,1702967,,3410738,
全国（日本）,1920年,30～34歳,1833443,,1776007,,3609450,
全国（日本）,1920年,25～29歳,2008005,,1915944,,3923949,
全国（日本）,1920年,20～24歳,2316479,,2292831,,4609310,
全国（日本）,1920年,15～19歳,2749022,,2670035,,5419057,
全国（日本）,1920年,10～14歳,3089225,,3012342,,6101567,
全国（日本）,1920年,5～9歳,3467156,,3389764,,6856920,
全国（日本）,1920年,0～4歳,3752627,,3705088,,7457715,
全国（日本）,1920年,総数,28044185,総務省統計局「国勢調査」による。,27918868,総務省統計局「国勢調査」による。,55963053,総務省統計局「国勢調査」による。
全国（日本）,1925年,100歳以上,48,,139,,187,
全国（日本）,1925年,95～99歳,398,,1148,,1546,
全国（日本）,1925年,90～94歳,3515,,9209,,12724,
全国（日本）,1925年,85～89歳,17585,,36653,,54238,
全国（日本）,1925年,80～84歳,79096,,136738,,215834,
全国（日本）,1925年,75～79歳,213632,,309382,,523014,
全国（日本）,1925年,70～74歳,403555,,515625,,919180,
全国（日本）,1925年,65～69歳,601475,,692865,,1294340,
全国（日本）,1925年,60～64歳,754000,,814341,,1568341,
全国（日本）,1925年,55～59歳,981235,,1009582,,1990817,
全国（日本）,1925年,50～54歳,1223831,,1227072,,2450903,
全国（日本）,1925年,45～49歳,1539488,,1515661,,3055149,
全国（日本）,1925年,40～44歳,1624224,,1597541,,3221765,
全国（日本）,1925年,35～39歳,1768538,,1680839,,3449377,
全国（日本）,1925年,30～34歳,1920177,,1795910,,3716087,
全国（日本）,1925年,25～29歳,2256502,,2136969,,4393471,
